rank,actor_id,actor_name,final_score,exposure_score,hhi_score,hhi_normalized,num_eligible_credits,top_k_count,english_percent,voice_percent,top_movie_1,top_movie_2,top_movie_3
39,2231,Actor_2231,61.2377,71.8771,0.0755,0.0095,25,15,100.0,8.3,The Hateful Eight,Coach Carter,Pulp Fiction
40,1813,Actor_1813,60.2949,70.7112,0.0785,0.0127,16,15,100.0,0.0,The Princess Diaries,One Day,The Princess Diaries 2: Royal Engagement
41,190,Actor_190,60.0438,69.5306,0.1253,0.0629,8,15,100.0,0.0,Gran Torino,Million Dollar Baby,"The Good, the Bad and the Ugly"
42,2524,Actor_2524,59.9761,69.7976,0.1070,0.0432,11,15,100.0,0.0,Mad Max: Fury Road,Venom,Venom: Let There Be Carnage
43,192,Actor_192,59.8977,70.2546,0.0779,0.0121,21,15,100.0,0.0,Se7en,Invictus,The Shawshank Redemption
44,10297,Actor_10297,59.6727,69.2958,0.1147,0.0514,10,15,100.0,0.0,Interstellar,Dallas Buyers Club,Sing
45,514,Actor_514,59.0744,68.6354,0.1124,0.0490,10,15,100.0,0.0,The Shining,One Flew Over the Cuckoo's Nest,Mars Attacks!
46,62064,Actor_62064,56.2787,65.3427,0.1125,0.0492,11,15,100.0,0.0,Star Trek,Star Trek Into Darkness,Rise of the Guardians
47,5530,Actor_5530,55.2701,63.9608,0.1229,0.0602,9,15,100.0,0.0,Split,X-Men: Apocalypse,Glass
48,5469,Actor_5469,55.1065,64.3287,0.0932,0.0285,15,15,100.0,0.0,The Grand Budapest Hotel,The King's Man,The Reader
49,17604,Actor_17604,54.8263,63.8996,0.0985,0.0341,14,15,100.0,0.0,Hansel & Gretel: Witch Hunters,The Hurt Locker,The Bourne Legacy
50,44735,Actor_44735,54.3768,62.6527,0.1365,0.0748,8,15,100.0,0.0,Now You See Me,Zombieland,The Social Network
51,17051,Actor_17051,54.0457,62.8604,0.1049,0.0410,12,15,100.0,0.0,127 Hours,Oz the Great and Powerful,This Is the End
52,24045,Actor_24045,52.1414,60.3328,0.1201,0.0572,11,15,100.0,0.0,(500) Days of Summer,Looper,Treasure Planet
53,57755,Actor_57755,51.6421,60.4384,0.0834,0.0180,15,15,100.0,0.0,Zombieland: Double Tap,Natural Born Killers,Now You See Me
54,9642,Actor_9642,51.2109,59.9701,0.0814,0.0158,16,15,100.0,0.0,Enemy at the Gates,Closer,Sherlock Holmes
55,11288,Actor_11288,50.8514,58.8934,0.1159,0.0528,10,15,100.0,0.0,The Batman,The Lighthouse,Remember Me
56,5081,Actor_5081,50.6824,58.8081,0.1099,0.0464,11,15,100.0,0.0,A Quiet Place,Sicario,A Quiet Place Part II
57,1532,Actor_1532,50.5565,58.3626,0.1257,0.0632,11,15,100.0,0.0,Ghostbusters,Groundhog Day,Lost in Translation
58,1229,Actor_1229,50.3319,57.8602,0.1383,0.0767,8,15,100.0,0.0,The Big Lebowski,True Grit,Hell or High Water
59,819,Actor_819,49.7086,57.3490,0.1265,0.0641,11,15,100.0,0.0,Fight Club,The Incredible Hulk,American History X
60,27972,Actor_27972,48.2426,55.8999,0.1119,0.0485,10,15,100.0,0.0,Bridge to Terabithia,Five Nights at Freddy's,Zathura: A Space Adventure
61,103,Actor_103,47.6052,55.7217,0.0817,0.0161,15,15,100.0,0.0,Spotlight,Shutter Island,Now You See Me 2
62,21657,Actor_21657,47.5083,54.6987,0.1298,0.0676,10,15,100.0,0.0,The Conjuring,The Conjuring 2,The Conjuring: The Devil Made Me Do It
63,6856,Actor_6856,47.4204,54.7335,0.1225,0.0598,10,15,100.0,0.0,The Thing,Death Proof,Escape from New York
64,11108,Actor_11108,47.1570,54.4596,0.1206,0.0578,13,15,100.0,0.0,Shaun of the Dead,Hot Fuzz,Paul
65,1204,Actor_1204,46.8177,54.0520,0.1210,0.0582,10,15,100.0,0.0,Notting Hill,Erin Brockovich,Mirror Mirror
66,10990,Actor_10990,45.6325,53.1986,0.0924,0.0276,13,15,100.0,0.0,Beauty and the Beast,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 1
67,4173,Actor_4173,45.5666,52.8620,0.1061,0.0423,13,15,100.0,0.0,Fracture,The Elephant Man,The Father
68,6885,Actor_6885,44.4247,51.4959,0.1073,0.0435,11,15,100.0,0.0,Atomic Blonde,The Old Guard,Mad Max: Fury Road
69,71580,Actor_71580,44.2740,50.5103,0.1501,0.0893,10,15,100.0,0.0,Doctor Strange,The Imitation Game,Doctor Strange in the Multiverse of Madness
70,234352,Actor_234352,43.7157,50.1893,0.1323,0.0703,10,15,100.0,0.0,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Barbie,The Suicide Squad
71,2,Actor_2,43.2848,48.7666,0.1807,0.1222,6,15,100.0,16.7,Star Wars,The Empire Strikes Back,Return of the Jedi
72,53714,Actor_53714,43.2156,50.3761,0.0913,0.0264,13,15,100.0,0.0,The Vow,The Notebook,Mean Girls
73,17288,Actor_17288,42.6994,48.9994,0.1320,0.0700,10,15,100.0,0.0,Alien: Covenant,Assassin's Creed,Shame
74,17178,Actor_17178,42.3679,48.9293,0.1151,0.0519,11,15,100.0,0.0,Insidious,Insidious: Chapter 2,The Conjuring
75,65731,Actor_65731,42.2507,47.7227,0.1716,0.1124,7,15,100.0,0.0,Avatar,Avatar: The Way of Water,Clash of the Titans
76,2176,Actor_2176,42.0535,48.3546,0.1259,0.0635,10,15,100.0,0.0,Men in Black,Men in Black II,No Country for Old Men
77,10205,Actor_10205,41.9758,48.1297,0.1330,0.0710,10,15,100.0,0.0,Aliens,Alien³,Alien Resurrection
78,16851,Actor_16851,41.8547,48.8523,0.0872,0.0220,14,15,100.0,0.0,Gangster Squad,Deadpool 2,The Goonies
79,527393,Actor_527393,41.8313,46.9259,0.1876,0.1296,6,15,100.0,0.0,The Maze Runner,Maze Runner: The Scorch Trials,Maze Runner: The Death Cure
80,83002,Actor_83002,41.4346,47.1574,0.1507,0.0901,9,15,100.0,0.0,It Chapter Two,Zero Dark Thirty,Mama
81,38673,Actor_38673,41.2239,47.1047,0.1404,0.0790,8,15,100.0,0.0,Jupiter Ascending,White House Down,Step Up
82,996701,Actor_996701,41.0724,46.5950,0.1579,0.0978,8,15,100.0,0.0,Whiplash,Fantastic Four,War Dogs
83,521,Actor_521,41.0432,45.7492,0.2008,0.1438,5,15,100.0,0.0,Back to the Future,Back to the Future Part II,Back to the Future Part III
84,2219,Actor_2219,40.2164,45.0020,0.1889,0.1310,6,15,100.0,0.0,Spider-Man,Spider-Man 2,Spider-Man 3
85,2975,Actor_2975,39.8497,46.4763,0.0881,0.0230,15,15,100.0,0.0,Event Horizon,The Matrix,The Matrix Reloaded
86,9273,Actor_9273,38.8038,44.3726,0.1343,0.0725,10,15,100.0,0.0,Arrival,Enchanted,Man of Steel
87,1190668,Actor_1190668,38.3592,42.9627,0.1812,0.1227,7,15,100.0,0.0,Dune,Dune: Part Two,Wonka
88,1136406,Actor_1136406,37.7079,41.4351,0.2215,0.1659,5,15,100.0,0.0,Spider-Man: Homecoming,Spider-Man: No Way Home,Spider-Man: Far From Home
89,1979,Actor_1979,37.6986,42.9380,0.1414,0.0801,9,15,100.0,0.0,American Beauty,L.A. Confidential,Baby Driver
90,73968,Actor_73968,36.9579,41.7058,0.1605,0.1005,7,15,100.0,0.0,Man of Steel,The Man from U.N.C.L.E.,Batman v Superman: Dawn of Justice
91,5293,Actor_5293,36.8749,43.2203,0.0752,0.0092,17,15,100.0,14.3,Spider-Man,The Lighthouse,Platoon
92,2037,Actor_2037,35.7001,40.0988,0.1672,0.1077,9,15,100.0,0.0,Oppenheimer,28 Days Later,Sunshine
93,205,Actor_205,35.6780,40.5893,0.1399,0.0785,9,15,100.0,0.0,Civil War,The Virgin Suicides,Spider-Man 2
94,10989,Actor_10989,35.4349,40.7955,0.1139,0.0506,9,15,100.0,0.0,Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban
95,3489,Actor_3489,35.2909,38.7625,0.2124,0.1562,6,15,100.0,0.0,King Kong,Mulholland Drive,The Impossible
96,1038,Actor_1038,35.1923,39.0332,0.1920,0.1343,6,15,100.0,0.0,The Silence of the Lambs,Panic Room,Contact
97,7499,Actor_7499,35.0909,39.8763,0.1411,0.0797,10,15,100.0,0.0,Mr. Nobody,Morbius,Suicide Squad
98,73421,Actor_73421,34.5849,37.7772,0.2206,0.1650,5,15,100.0,0.0,Joker,Her,Brother Bear
99,1333,Actor_1333,34.5313,38.0892,0.2008,0.1437,7,15,100.0,0.0,Rise of the Planet of the Apes,Dawn of the Planet of the Apes,War for the Planet of the Apes
100,9827,Actor_9827,34.4396,39.9540,0.0965,0.0319,11,15,100.0,0.0,Insidious,Spy,Knowing
